review,sentiment,label
one reviewers mention watch oz episode youll hook right exactly happen methe first thing strike oz brutality unflinching scenes violence set right word go trust not show faint hearted timid show pull no punch regard drug sex violence hardcore classic use wordit call oz nickname give oswald maximum security state penitentary focus mainly emerald city experimental section prison cells glass front face inwards privacy not high agenda em city home manyaryans muslims gangstas latinos christians italians irish moreso scuffle death star dodgy dealings shady agreements never far awayi would say main appeal show due fact go show wouldnt dare forget pretty picture paint mainstream audiences forget charm forget romanceoz doesnt mess around first episode ever saw strike nasty surreal couldnt say ready watch develop taste oz get accustom high level graphic violence not violence injustice crook guard wholl sell nickel inmates wholl kill order get away well mannered middle class inmates turn prison bitch due lack street skills prison experience watch oz may become comfortable uncomfortable viewingthats get touch darker side,positive,1
wonderful little production film technique unassuming oldtimebbc fashion give comfort sometimes discomforting sense realism entire piece actors extremely well choose michael sheen not get polari voice pat truly see seamless edit guide reference williams diary entries not well worth watch terrificly write perform piece masterful production one great master comedy life realism really come home little things fantasy guard rather use traditional dream techniques remain solid disappear play knowledge sense particularly scenes concern orton halliwell set particularly flat halliwells murals decorate every surface terribly well do,positive,1
think wonderful way spend time hot summer weekend sit air condition theater watch lighthearted comedy plot simplistic dialogue witty character likable even well bread suspect serial killer may disappoint realize not match point risk addiction think proof woody allen still fully control style many us grow lovethis id laugh one woodys comedies years dare say decade ive never impress scarlet johanson manage tone sexy image jump right average spirit young womanthis may not crown jewel career wittier devil wear prada interest superman great comedy go see friends,positive,1
basically theres family little boy jake think theres zombie closet parent fight timethis movie slower soap opera suddenly jake decide become rambo kill zombieok first youre go make film must decide thriller drama drama movie watchable parent divorce argue like real life jake closet totally ruin film expect see boogeyman similar movie instead watch drama meaningless thriller spot well play parent descent dialogs shots jake ignore,negative,0
petter matteis love time money visually stun film watch mr mattei offer us vivid portrait human relations movie seem tell us money power success people different situations encounter variation arthur schnitzlers play theme director transfer action present time new york different character meet connect one connect one way another next person no one seem know previous point contact stylishly film sophisticate luxurious look take see people live world live habitatthe thing one get souls picture different stag loneliness one inhabit big city not exactly best place human relations find sincere fulfillment one discern case people encounterthe act good mr matteis direction steve buscemi rosario dawson carol kane michael imperioli adrian grenier rest talented cast make character come alivewe wish mr mattei good luck await anxiously next work,positive,1
probably alltime favorite movie story selflessness sacrifice dedication noble cause not preachy bore never get old despite see time last years paul lukas performance bring tear eye bette davis one truly sympathetic roles delight kid grandma say like dressedup midgets children make fun watch mother slow awaken whats happen world roof believable startle dozen thumb theyd movie,positive,1
sure would like see resurrection date seahunt series tech today would bring back kid excitement mei grow black white tv seahunt gunsmoke heros every weekyou vote comeback new sea huntwe need change pace tv would work world water adventureoh way thank outlet like view many viewpoints tv many moviesso ole way believe ive get wanna saywould nice read plus point sea huntif rhyme would line would let submitor leave doubt quitif must go let,positive,1
show amaze fresh innovative idea first air first years brilliant things drop show not really funny anymore continue decline complete waste time todayits truly disgraceful far show fall write painfully bad performances almost bad not mildly entertain respite guesthosts show probably wouldnt still air find hard believe creator handselected original cast also choose band hack follow one recognize brilliance see fit replace mediocrity felt must give star respect original cast make show huge success show awful cant believe still air,negative,0
encourage positive comment film look forward watch film bad mistake ive see film truly one worst awful almost every way edit pace storyline act soundtrack film song lame country tune play no less four time film look cheap nasty bore extreme rarely happy see end credit film thing prevent give score harvey keitel far best performance least seem make bite effort one keitel obsessives,negative,0
like original gut wrench laughter like movie young old love movie hell even mom like itgreat camp,positive,1
phil alien one quirky film humour base around oddness everything rather actual punchlinesat first odd pretty funny movie progress didnt find joke oddness funny anymoreits low budget film thats never problem pretty interest character eventually lose interesti imagine film would appeal stoner currently partakingfor something similar better try brother another planet,negative,0
saw movie come recall scariest scene big bird eat men dangle helplessly parachute right air horror horroras young kid go cheesy b film saturday afternoons still tire formula monster type movies usually include hero beautiful woman might daughter professor happy resolution monster die end didnt care much romantic angle year old predictable plot love unintentional humorbut year later saw psycho come love star janet leigh bump early film sit take notice point since screenwriters make story make scary possible not wellworn formula no rule,negative,0
im not big fan bolls work not many enjoy movie postal maybe im one boll apparently buy right use far cry long ago even game even finsished people enjoy kill mercs infiltrate secret research labs locate tropical island warn not far cry something mr boll scheme together along legion schmucks feel loneley set mr boll invite three countrymen play players go name til schweiger udo kier ralf moellerthree name actually make selfs pretty big movie biz tale go like jack carver play til schweiger yes carver german hail bratwurst eat dudes however find tils act movie pretty badass people complain hes not really stay true whole carver agenda saw carver first person perspective dont really know look like kick however storyline film beyond demented see evil mad scientist dr krieger play udo kier make geneticallymutatedsoldiers gms call perform topsecret research island remind spoiler vancouver reason thats right no palm tree instead get nice rich lumberjackwoods havent even go far start cry mehehe cannot go wanna stay true bolls shenanigans go see movie not disappoint deliver true boll experience mean suckthere things worth mention would imply boll good work areas film nice boat fight scenes whole cromedalbino gms squad enter scene everything make laugh movie far cry reek scheisse thats poop simpletons far wanna take wiff go ahead btw carver get annoy sidekick make wanna shoot first three minutes hes screen,negative,0
cast play shakespeareshakespeare losti appreciate try bring shakespeare mass ruin something goodis scottish play favorite shakespeare not know know certain rev bowdler hence bowdlerization try something similar victorian erain word cannot improve perfectioni no write write least ten line text english composition never forte keep go say movie say go not cut,negative,0
fantastic movie three prisoners become famous one actors george clooney im not fan roll not bad another good thing movie soundtrack man constant sorrow recommand movie everybody greetings bart,positive,1
kind draw erotic scenes realize one amateurish unbelievable bits film ive ever see sort like high school film project rosanna arquette think stock character bizarre suppose midwest town pretty hard get involve one no lessons learn no brilliant insights stilted quite ridiculous lot skin intrigue videotape nonsensewhat bisexual relationship nowhere heterosexual encounter absurd dance everybody play stereotype roles give one pass like million miles bad waste film money could spend starve children aid africa,negative,0
film simply not remake one not bad film fail capture flavor terror film title liam neeson excellent always cast hold exception owen wilson not bring right feel character luke major fault version stray far shirley jackson story attempt grandiose lose thrill earlier film trade snazzier special effect say not bad film enjoy friction terror older version much,positive,1
movie make one top awful movies horrible wasnt continuous minute wasnt fight one monster another no chance character development busy run one sword fight another no emotional attachment except big bad machine want destroy scenes blatantly steal movies lotr star war matrix examplesthe ghost scene end steal final scene old star war yoda obee one vader spider machine begin exactly like frodo attack spider return kings elijah wood victim film waitit hypnotize sting victim wrap upuh helloand whole machine vs humans theme matrixor terminatorthere examples waste time someone tell nazis nazis juvenile story line rush juvenile conclusion movie could not decide childrens movie adult movie wasnt much either awful real disappointment say least save money,negative,0
remember filmit first film watch cinema picture dark place nervous back dad take brother sister newbury cinema newbury berkshire england recall tigers lot snow film also appearance grizzly adams actor dan haggery think one tigers get shoot die anyone know find dvd etc please let knowthe cinema turn fitness club big shame nearest cinema miles away would love hear others see film like,positive,1
awful film must real stinkers nominate golden globe theyve take story first famous female renaissance painter mangle beyond recognition complaint not theyve take liberties facts story good would perfectly fine simply bizarre account true story artist would make far better film come dishwaterdull script suppose werent enough naked people factual version hurriedly cap end summary artists life could save couple hours theyd favor rest film brevity,negative,0
